cluster_number,predicate,predicate_description,vars,cluster_size,cluster_predicate,cluster_description
308,Administrator, x is an administrator,x,1,Administrator, x is an administrator
309,Defines, x defines y ,"x,y",1,Defines, x defines y 
310,Deploys, x deploys y ,"x,y",1,Deploys, x deploys y 
311,DeterminesDenial, y determines z is denied,"y,z",1,DeterminesDenial, y determines z is denied
312,DeniedExecution, z is denied execution,z,1,DeniedExecution, z is denied execution
313,Hash, x is a hash,x,1,Hash, x is a hash
314,ReputationSource, y is a reputation source,y,1,ReputationSource, y is a reputation source
315,CanLookup, y can look up x ,"y,x",1,CanLookup, y can look up x 
316,AllowList, x is an allow list,x,1,AllowList, x is an allow list
317,DenyList, x is a deny list,x,1,DenyList, x is a deny list
318,DeviceType, y is a device type,y,1,DeviceType, y is a device type
319,ConfiguredFor, x is configured for y OR x is configured for z,"x,y / x,z",1,ConfiguredFor, x is configured for y OR x is configured for z
320,IndirectBranchInstruction, x is an indirect branch instruction,x,1,IndirectBranchInstruction, x is an indirect branch instruction
321,ExecutionTraceAvailable, execution trace of x is available,x,1,ExecutionTraceAvailable, execution trace of x is available
322,LogAnalysisTool, x is a log analysis tool,x,1,LogAnalysisTool, x is a log analysis tool
323,DetectsChanges, x detects changes,x,1,DetectsChanges, x detects changes
324,InfrastructureComponent, x is an infrastructure component,x,1,InfrastructureComponent, x is an infrastructure component
325,SupportsBroadcastIsolation, x supports broadcast isolation features,x,1,SupportsBroadcastIsolation, x supports broadcast isolation features
326,DetectedAsHarmful, x is detected as potentially harmful,x,1,DetectedAsHarmful, x is detected as potentially harmful
327,DetectedAsPolicyViolating, x is detected as policy-violating,x,1,DetectedAsPolicyViolating, x is detected as policy-violating
328,TypicalResourceAccessActivity, y describes typical resource access activity for x ,"y,x",1,TypicalResourceAccessActivity, y describes typical resource access activity for x 
329,EncryptionMechanism, y is an encryption mechanism,y,1,EncryptionMechanism, y is an encryption mechanism
330,Key, y is a key,y,1,Key, y is a key
331,Available83, x has y available,"x,y",1,Available83, x has y available
332,Initialized, x has y initialized,"x,y",1,Initialized, x has y initialized
333,Captures, x captures y,"x,y",1,Captures, x captures y
334,Receives, x receives y,"x,y",1,Receives, x receives y
335,MessageIntegrityEnabled, x has message integrity mechanisms enabled,x,1,MessageIntegrityEnabled, x has message integrity mechanisms enabled
