D3-CIA-SS1,(system_state) The container image is labeled with vulnerability and misconfiguration results.,Analyzing a Container Image with respect to a set of policies.
D3-PMAD-SS2,(system_state) The system flags network activity as anomalous if it differs significantly from baseline patterns.,Collecting network communication protocol metadata and identifying statistical outliers.
D3-PMAD-SS3,"(system_state) An alert or log entry is created to document the anomaly for triage, investigation, or correlation with other activity.",Collecting network communication protocol metadata and identifying statistical outliers.
D3-RPA-SS1,(system_state) The system compares session statistics across hosts to identify near-synchronous patterns or mirrored traffic flows.,The detection of an internal host relaying traffic between the internal network and the external network.
D3-RPA-SS2,(system_state) A host is flagged as a potential relay if its communication patterns suggest relaying between internal and external systems.,The detection of an internal host relaying traffic between the internal network and the external network.
D3-RPA-SS3,(system_state) The event is logged or alerted for further investigation or mitigation.,The detection of an internal host relaying traffic between the internal network and the external network.
D3-RTSD-SS1,"(system_state) Time-based statistics such as packet intervals, data volume, cadence, and rhythm are computed from network session data.",Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.
D3-RTSD-SS2,(system_state) A session is classified as a potential unauthorized terminal session based on anomalous traffic characteristics.,Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.
D3-RTSD-SS3,"(system_state) An alert is logged or triggered for the session, which may indicate compromise or unauthorized remote access.",Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.
D3-RTA-SS1,"(system_state) Specific RPC procedure calls (e.g., CreateProcess, ReadFile) are extracted from traffic data for analysis.",Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.
D3-RTA-SS2,(system_state) RPC activity that deviates from the baseline or includes unauthorized actions is flagged.,Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.
D3-RTA-SS3,(system_state) The detected anomaly is recorded in logs or alerts for security response or forensic review.,Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.
D3-FEMC-I1,(input) A monitoring component is now embedded in the firmware.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-I2,(input) Exception handlers can now report exact memory addresses upon tampering.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-SS3,(system_state) The device now has near real-time monitoring of firmware memory and data.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-SS4,(system_state) Unauthorized changes to firmware can now be detected.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-SS5,(system_state) Firmware memory pages can be locked upon detection of tampering.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-PFV-I1,(input) The system firmware hash is computed and stored.,Cryptographically verifying installed system firmware integrity.
D3-PFV-SS2,(system_state) The firmware hash is compared to a trusted baseline and verification result is produced.,Cryptographically verifying installed system firmware integrity.
D3-PFV-SS3,"(system_state) A predefined response is triggered if verification fails, such as disabling devices or blocking operations.",Cryptographically verifying installed system firmware integrity.
D3-SFV-I1,"(input) If verification fails, system triggers predefined security responses such as disabling devices.",Cryptographically verifying installed system firmware integrity by computing hash values and comparing them to known good values.
D3-SFV-SS2,"(system_state) If hash comparison succeeds, system firmware is considered verified and trustworthy.",Cryptographically verifying installed system firmware integrity by computing hash values and comparing them to known good values.
D3-SFV-SS3,"(system_state) If hash comparison fails, the firmware is flagged as tampered.",Cryptographically verifying installed system firmware integrity by computing hash values and comparing them to known good values.
D3-EHB-I1,(input) The system now has up-to-date knowledge of the endpoint's status and identification based on the received heartbeat.,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised."
D3-EHB-SS2,(system_state) The system monitors for heartbeat absence and can flag a missing beacon as a possible sign of endpoint compromise.,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised."
D3-IDA-I1,(input) An input anomaly is logged and an alert is raised for investigation.,Operating system level mechanisms to prevent abusive input device exploitation by filtering certain commands or disabling related operating system functionality.
D3-IDA-SS2,"(system_state) The offending input device is disabled, session locked, or user account is disabled as a result of detected abuse.",Operating system level mechanisms to prevent abusive input device exploitation by filtering certain commands or disabling related operating system functionality.
D3-MBT-I1,(input) The system determines whether return addresses are within expected memory regions.,Analyzing a call stack for return addresses which point to unexpected memory locations.
D3-MBT-SS2,(system_state) Suspicious return addresses outside valid memory bounds are flagged for further analysis.,Analyzing a call stack for return addresses which point to unexpected memory locations.
D3-MBT-SS3,(system_state) A report is generated containing results from the memory boundary tracking analysis.,Analyzing a call stack for return addresses which point to unexpected memory locations.
D3-SJA-I1,"(input) The scheduled job and its associated files, processes, and destinations have been analyzed.","Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling."
D3-SJA-SS2,"(system_state) If malicious behavior is detected, the job's execution is denied, an alert is generated, and a log entry is created.","Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling."
D3-SDM-I1,(input) Modifications to security-relevant registry settings are detected.,Tracking changes to the state or configuration of critical system level processes.
D3-SDM-SS2,(system_state) Changes in state or configuration of critical processes are detected.,Tracking changes to the state or configuration of critical system level processes.
D3-SDM-SS3,(system_state) Disabling or manipulation of system logs is detected as an anomaly.,Tracking changes to the state or configuration of critical system level processes.
D3-SFA-I1,(input) An alert is generated if tampering or unexpected file changes are detected.,"Monitoring system files such as authentication databases, configuration files, system logs, and system executables for modification or tampering."
D3-SFA-SS2,(system_state) The system detects file modification and records it in the monitoring logs.,"Monitoring system files such as authentication databases, configuration files, system logs, and system executables for modification or tampering."
D3-SBV-I1,(input) The result of the binary verification is recorded in the system audit log.,Analyzing changes in service binary files by comparing to a source of truth.
D3-SBV-SS2,(system_state) The system identifies whether the binary has been modified or remains unchanged.,Analyzing changes in service binary files by comparing to a source of truth.
D3-SICA-I1,(input) The action results in identification of processes or services that are configured to start during system initialization.,Analysis of any system process startup configuration.
D3-SICA-SS2,"(system_state) Startup entries may be correlated with known threat signatures, enhancing system situational awareness.",Analysis of any system process startup configuration.
D3-USICA-I1,(input) Any modifications made to the user session config files have been successfully identified.,Analyzing modifications to user session config files such as .bashrc or .bash_profile.
D3-USICA-SS2,(system_state) Analysis results of user session configuration file changes are now available for correlation or review.,Analyzing modifications to user session config files such as .bashrc or .bash_profile.
D3-DQSA-I1,(input) The intercepted query string has been analyzed for anomalies.,"Analyzing database queries to detect SQL Injection. This involves intercepting and inspecting query strings using software hooks or network traffic analysis, and comparing query structure to known patterns or baselines."
D3-DQSA-SS2,(system_state) A SQL injection pattern was detected and an alert or log entry was generated.,"Analyzing database queries to detect SQL Injection. This involves intercepting and inspecting query strings using software hooks or network traffic analysis, and comparing query structure to known patterns or baselines."
D3-FAPA-I1,(input) Suspicious or anomalous file access patterns are detected for the process.,Analyzing the files accessed by a process to identify unauthorized activity.
D3-FAPA-SS2,(system_state) The process is flagged as having abnormal file access behavior.,Analyzing the files accessed by a process to identify unauthorized activity.
D3-FAPA-SS3,(system_state) An alert or flag is generated for further inspection or automated response.,Analyzing the files accessed by a process to identify unauthorized activity.
D3-IBCA-I1,(input) Chained sequences of small code fragments (ROP gadgets) are identified through indirect branches.,"Analyzing vendor-specific branch call recording (e.g., Intel Last Branch Recording) to detect Return-Oriented Programming (ROP) style attacks by inspecting sequences of indirect branching calls leading to system calls."
D3-IBCA-SS2,(system_state) ROP-style attack pattern is detected; anomalous ret instructions not preceded by calls are flagged.,"Analyzing vendor-specific branch call recording (e.g., Intel Last Branch Recording) to detect Return-Oriented Programming (ROP) style attacks by inspecting sequences of indirect branching calls leading to system calls."
D3-PCSV-I1,(input) An integrity status (pass/fail) is determined after comparing the process code segment to the reference.,"Compares a process's in-memory code segment to a known source of truth (e.g., on-disk binary, embedded hash, or remote reference) to ensure integrity."
D3-PCSV-SS2,"(system_state) If the verification fails, the process may be terminated or the executable may be blacklisted.","Compares a process's in-memory code segment to a known source of truth (e.g., on-disk binary, embedded hash, or remote reference) to ensure integrity."
D3-PSMD-I1,(input) An API call sequence matches a known self-modification pattern for a process.,"Detects processes that modify, change, or replace their own code at runtime."
D3-PSMD-SS2,(system_state) A process is flagged as exhibiting self-modifying behavior and marked for further response or alert.,"Detects processes that modify, change, or replace their own code at runtime."
D3-PLA-I1,(input) Processes that violate expected lineage conditions are flagged as suspicious.,"Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
D3-PLA-SS2,(system_state) Alerts or signals are generated for suspicious processes based on their lineage.,"Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
D3-PLA-SS3,(system_state) The process execution model or history for the device is updated to reflect the latest lineage analysis.,"Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
D3-SEA-I1,(input) The result of the script analysis is logged for audit or monitoring purposes.,Analyzing the execution of a script to detect unauthorized user activity.
D3-SEA-SS2,"(system_state) If the script matches a known malicious pattern, its execution is blocked.",Analyzing the execution of a script to detect unauthorized user activity.
D3-SSC-I1,(input) The call stacks have been compared for consistency.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SSC-SS2,(system_state) The number of mismatches between call stacks is updated.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SSC-SS3,(system_state) The mismatch count has exceeded the configured threshold.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SSC-SS4,(system_state) A security response is triggered due to excessive mismatches.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SSC-SS5,(system_state) An anomaly detection event has been recorded in the system.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-FCA-I1,(input) Properties of file creation system calls have been extracted and analyzed.,Analyzing the properties of file create system call invocations.
D3-FCA-SS2,(system_state) Analysis output is available for correlation or further investigation.,Analyzing the properties of file create system call invocations.
D3-ANET-I1,(input) A baseline profile of normal authentication behavior is generated for the user.,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile."
D3-ANET-SS2,(system_state) An authentication event has been evaluated and determined to exceed the predefined threshold.,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile."
D3-AZET-I1,(input) A baseline behavioral profile is generated from past authorization events.,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile."
D3-AZET-SS2,(system_state) An authorization event is flagged as anomalous based on deviation from the baseline and configured thresholds.,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile."
D3-AZET-SS3,(system_state) Flagged events are queued or passed to follow-on detection or enforcement mechanisms.,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile."
D3-CCSA-I1,(input) A list of user accounts determined to be potentially compromised is produced.,Determining which credentials may have been compromised by analyzing the user logon history and possible sources of credential data such as memory and disk.
D3-CCSA-SS2,(system_state) A forensic report detailing the source and scope of credential compromise is created.,Determining which credentials may have been compromised by analyzing the user logon history and possible sources of credential data such as memory and disk.
D3-DAM-I1,(input) A stream of domain account events becomes available for analysis and correlation.,Monitoring the existence of or changes to Domain User Accounts.
D3-DAM-SS2,(system_state) The behavioral profile or baseline for domain account activity is updated with new data.,Monitoring the existence of or changes to Domain User Accounts.
D3-JFAPA-I1,(input) the user’s access pattern deviates from their peer group,"Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department."
D3-JFAPA-SS2,(system_state) the user is flagged as anomalous,"Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department."
D3-LAM-I1,(input) suspicious accounts are flagged for further action,Analyzing local user accounts to detect unauthorized activity
D3-LAM-SS2,(system_state) unauthorized or anomalous account activity is identified,Analyzing local user accounts to detect unauthorized activity
D3-RAPA-I1,(input) anomaly score or deviation measure between current activity and baseline is computed,Analyzing the resources accessed by a user to identify unauthorized activity by comparing recent activity against a baseline model.
D3-RAPA-SS2,(system_state) potential alert or flag indicating unauthorized activity is raised,Analyzing the resources accessed by a user to identify unauthorized activity by comparing recent activity against a baseline model.
D3-RAPA-SS3,(system_state) baseline model may be updated based on recent activity,Analyzing the resources accessed by a user to identify unauthorized activity by comparing recent activity against a baseline model.
D3-SDA-I1,(input) session deviation from historical model is computed,Analyzing the duration of user sessions in order to detect unauthorized activity by comparing against historical behavior models.
D3-SDA-SS2,(system_state) anomaly flag may be raised for the session,Analyzing the duration of user sessions in order to detect unauthorized activity by comparing against historical behavior models.
D3-UGLPA-I1,(input) user's geolocation logon behavior profile is updated with new data,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
D3-UGLPA-SS2,(system_state) logon from location is detected as anomalous,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
D3-UGLPA-SS3,(system_state) user logon is flagged with a calculated risk level,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
D3-WSAA-I1,(input) anomalous activity in the current user web session is detected,Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.
D3-WSAA-SS2,(system_state) the user's baseline behavior profile is updated based on the current session,Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.
D3-CTS-I1,(input) Scoped credentials are issued for use with defined relying parties.,Limiting the transmission of a credential to a scoped set of relying parties.
D3-CTS-SS2,(system_state) Credential use is scoped to authorized relying parties only.,Limiting the transmission of a credential to a scoped set of relying parties.
D3-CTS-SS3,(system_state) Prevents transmission or use of credentials outside the authorized scope.,Limiting the transmission of a credential to a scoped set of relying parties.
D3-LFAM-I1,(input) The system produces a decision to either allow or deny the requested file access based on the defined policies.,Local file access mediation is the process of an operating system granting or denying a specific access request to a local file.
D3-LFAM-SS2,"(system_state) If auditing is enabled, a record of the access decision is stored for security logging.",Local file access mediation is the process of an operating system granting or denying a specific access request to a local file.
D3-PAM-I1,(input) The system issues a decision to grant or deny access for the subject to the facility.,"Physical access mediation is the process of granting or denying specific requests to enter specific physical facilities (e.g., Federal buildings, military establishments, border crossing entrances)."
D3-PAM-SS2,"(system_state) If access is granted, the subject's entry is logged and the system updates their presence status within the facility.","Physical access mediation is the process of granting or denying specific requests to enter specific physical facilities (e.g., Federal buildings, military establishments, border crossing entrances)."
D3-PBWSAM-I1,(input) The user's request is routed through the proxy server instead of directly to the web server.,"Regulation of web server access through intermediary proxy servers, enhancing control, anonymity, and enforcement of access policies."
D3-PBWSAM-SS2,"(system_state) Access to the web server is controlled according to proxy policy, and user identity may be anonymized.","Regulation of web server access through intermediary proxy servers, enhancing control, anonymity, and enforcement of access policies."
D3-EBWSAM-I1,(input) Access is granted to the endpoint device upon satisfying authentication and compliance requirements.,Regulates web server access directly from user endpoints by implementing mechanisms such as client-side certificates and endpoint security software to authenticate devices and ensure compliant access.
D3-EBWSAM-SS2,(system_state) A secure session is established and the access event is recorded in the audit log with timestamp.,Regulates web server access directly from user endpoints by implementing mechanisms such as client-side certificates and endpoint security software to authenticate devices and ensure compliant access.
D3-WSAM-I1,"(input) Adaptive threat mitigation (e.g., IP monitoring, anomaly detection) is enabled post-authentication.","Secures user sessions in web applications by employing robust authentication and integrity validation, along with adaptive threat mitigation techniques, to ensure that access to web resources is authorized and protected from session-related attacks."
D3-WSAM-SS2,(system_state) A secure and authenticated session is established for the user.,"Secures user sessions in web applications by employing robust authentication and integrity validation, along with adaptive threat mitigation techniques, to ensure that access to web resources is authorized and protected from session-related attacks."
D3-WSAM-SS3,"(system_state) The system ensures that session data has not been tampered with (e.g., via token signing or secure cookie flags).","Secures user sessions in web applications by employing robust authentication and integrity validation, along with adaptive threat mitigation techniques, to ensure that access to web resources is authorized and protected from session-related attacks."
D3-RFAM-I1,(input) The remote access event is logged for auditing and monitoring purposes.,Remote file access mediation is the process of managing and securing access to file systems over a network to ensure that only authorized users or processes can interact with remote files.
D3-RFAM-SS2,"(system_state) User is granted access to the remote file, and the session is monitored for security compliance.",Remote file access mediation is the process of managing and securing access to file systems over a network to ensure that only authorized users or processes can interact with remote files.
D3-RAM-I1,(input) Logs of routing and access metadata are generated for auditing.,"A network-layer access control strategy using VPNs, tunnels, firewall rules, and traffic inspection to securely manage routing and prevent unauthorized access."
D3-RAM-SS2,(system_state) Only secure and validated routing paths are used.,"A network-layer access control strategy using VPNs, tunnels, firewall rules, and traffic inspection to securely manage routing and prevent unauthorized access."
D3-RAM-SS3,(system_state) Traffic that violates policies is blocked or dropped.,"A network-layer access control strategy using VPNs, tunnels, firewall rules, and traffic inspection to securely manage routing and prevent unauthorized access."
D3-RAM-SS4,(system_state) VPN traffic is encrypted to prevent eavesdropping and tampering.,"A network-layer access control strategy using VPNs, tunnels, firewall rules, and traffic inspection to securely manage routing and prevent unauthorized access."
D3-LAMED-I1,(input) Each device is either granted or denied access to the LAN based on authentication and access control policies.,"LAN access mediation encompasses the application of strict access control policies, systematic verification of devices, and authentication mechanisms to govern connectivity to a Local Area Network."
D3-LAMED-SS2,(system_state) Only authenticated and authorized devices are allowed to connect to the LAN; unauthorized devices are blocked or quarantined.,"LAN access mediation encompasses the application of strict access control policies, systematic verification of devices, and authentication mechanisms to govern connectivity to a Local Area Network."
D3-IOPR-I1,(input) Device connection attempt is logged by the agent.,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-IOPR-SS2,(system_state) Unauthorized device is blocked from connecting.,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-IOPR-SS3,(system_state) Access to the file system of the external device is restricted.,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-IOPR-SS4,(system_state) IO port access is filtered based on predefined policy.,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-DTP-SS1,"(system_state) A trust relationship between domains is modified, restricted, or removed as part of enforcing policy.",Restricting inter-domain trust by modifying domain configuration.
D3-DTP-SS2,(system_state) The change in trust configuration is recorded for auditing and compliance purposes.,Restricting inter-domain trust by modifying domain configuration.
D3-DTP-SS3,"(system_state) Limiting inter-domain trust reduces potential avenues for lateral movement, SSO abuse, or privilege escalation.",Restricting inter-domain trust by modifying domain configuration.
D3-LFP-SS1,(system_state) The operating system updates the file's permission attributes to reflect the desired access control policy.,Restricting access to a local file by configuring operating system functionality.
D3-LFP-SS2,(system_state) Users or processes not permitted under the policy are denied read/write/execute access.,Restricting access to a local file by configuring operating system functionality.
D3-LFP-SS3,"(system_state) A log entry is generated to document the file permission changes and the rationale (e.g., audit trail or compliance).",Restricting access to a local file by configuring operating system functionality.
D3-UAP-SS1,(system_state) Permissions for the user are updated to enforce the defined access control policy for specific resources.,Restricting a user account's access to resources.
D3-UAP-SS2,(system_state) The system denies access when a user attempts an action not permitted by the enforced policy.,Restricting a user account's access to resources.
D3-UAP-SS3,"(system_state) The permission change is logged for compliance, auditing, or forensic analysis.",Restricting a user account's access to resources.
D3-CNE-SS1,"(system_state) A specific piece of content (e.g., macro, script, iframe) is removed to enforce security or policy compliance.","Removing specific, potentially malicious, parts of content."
D3-CNE-SS2,"(system_state) The original content is retained with excised elements removed, so it can still be safely used or delivered.","Removing specific, potentially malicious, parts of content."
D3-CNE-SS3,"(system_state) The event is recorded, including details about the excised element and the policy that triggered the action.","Removing specific, potentially malicious, parts of content."
D3-CFC-SS1,"(system_state) The content is successfully converted into the desired format (e.g., DOCX → PDF) and optionally sanitized.",Content format conversion is mechanical transformation from one format to another which may be normalization or specifically flattening.
D3-CFC-SS2,"(system_state) Elements like macros, embedded scripts, or forms are removed as part of the transformation process.",Content format conversion is mechanical transformation from one format to another which may be normalization or specifically flattening.
D3-CFC-SS3,"(system_state) The conversion process is logged, including source and target formats and any rules applied.",Content format conversion is mechanical transformation from one format to another which may be normalization or specifically flattening.
D3-CNR-SS1,"(system_state) A new version of the content is constructed using only safe, validated components as per the spec.",Rebuild the file according to the spec so any unreferenced components or objects are removed.
D3-CNR-SS2,(system_state) Any content elements that do not conform to the schema or are unlinked/unused are discarded.,Rebuild the file according to the spec so any unreferenced components or objects are removed.
D3-CNR-SS3,"(system_state) The rebuild operation is logged, including schema used and actions taken for compliance or auditing.",Rebuild the file according to the spec so any unreferenced components or objects are removed.
D3-CNS-SS1,(system_state) A non-compliant or unsafe element is substituted with a safer alternative.,Modifies specific digital content information by replacing it with something else.
D3-CNS-SS2,(system_state) The new content conforms to policy and is semantically valid for its intended use.,Modifies specific digital content information by replacing it with something else.
D3-CNS-SS3,(system_state) A record of the substitution is generated for accountability or traceability.,Modifies specific digital content information by replacing it with something else.
D3-CQ-SS1,(system_state) The flagged content is isolated from regular processing environments to prevent harm or propagation.,Transfer content that does not comply with policy to a quarantine zone.
D3-CQ-SS2,(system_state) Only authorized personnel or processes can access quarantined data for analysis or restoration.,Transfer content that does not comply with policy to a quarantine zone.
D3-CQ-SS3,"(system_state) The quarantine operation is recorded to enable forensic analysis, auditing, and traceability.",Transfer content that does not comply with policy to a quarantine zone.
D3-FFV-SS1,"(system_state) The file is successfully validated and conforms to the expected specification, or a failure is recorded.",Verifying that a file conforms to its expected format specifications.
D3-FFV-SS2,"(system_state) Any violations (e.g., incorrect headers, embedded payloads, structural anomalies) are detected and documented.",Verifying that a file conforms to its expected format specifications.
D3-FFV-SS3,(system_state) The result of the format verification (pass/fail) is recorded for auditing or follow-up analysis.,Verifying that a file conforms to its expected format specifications.
D3-FCDC-SS1,(system_state) The section was successfully decoded and is available for further inspection.,Checking if compressed or encoded data sections can be successfully decompressed or decoded.
D3-FCDC-SS2,"(system_state) Sections that cannot be decompressed due to corruption, incorrect format, or malicious structure are flagged.",Checking if compressed or encoded data sections can be successfully decompressed or decoded.
D3-FCDC-SS3,(system_state) Successes and failures during decompression checks are logged for observability and downstream decision-making.,Checking if compressed or encoded data sections can be successfully decompressed or decoded.
D3-FISV-SS1,"(system_state) The expected fields (e.g., magic numbers, byte-order marks) are checked and validated against the format's spec.","The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FISV-SS2,(system_state) Any deviations from the expected internal values are logged and flagged as potentially malicious or malformed.,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FISV-SS3,(system_state) Results of the verification (success/failure) and relevant metadata are recorded for forensic or compliance purposes.,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FMCV-SS1,"(system_state) All checked metadata fields (e.g., length, pointer, checksum) are consistent with actual file data.","The process of validating the consistency between a file's metadata and its actual content, ensuring that elements like declared lengths, pointers, and checksums accurately describe the file's content."
D3-FMCV-SS2,"(system_state) The system detects mismatches between declared and actual values, flagging the file as potentially malicious or malformed.","The process of validating the consistency between a file's metadata and its actual content, ensuring that elements like declared lengths, pointers, and checksums accurately describe the file's content."
D3-FMCV-SS3,"(system_state) The result of the metadata validation process is recorded, enabling future auditing and forensic analysis.","The process of validating the consistency between a file's metadata and its actual content, ensuring that elements like declared lengths, pointers, and checksums accurately describe the file's content."
D3-FMVV-SS1,(system_state) Each static metadata field is checked for correctness and conformance with the file specification.,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FMVV-SS2,(system_state) Any deviation from the expected metadata values is flagged as a potential format spoofing or anomaly.,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FMVV-SS3,"(system_state) The results of the value checks are logged for auditing, compliance, and traceability.","The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification."
D3-FMBV-SS1,"(system_state) The magic bytes are compared to the expected signature, and the result is recorded (match/mismatch).",Utilizing the magic number to verify the file.
D3-FMBV-SS2,"(system_state) If the magic bytes do not match the expected format, the file may be flagged for further analysis or rejection.",Utilizing the magic number to verify the file.
D3-FMBV-SS3,"(system_state) The verification action and result are logged for auditing, traceability, and downstream processing.",Utilizing the magic number to verify the file.
D3-ABPI-SS1,(system_state) One component cannot read or write to memory associated with another component within the same process.,Application code which prevents its own subroutines from accessing intra-process / internal memory space.
D3-ABPI-SS2,"(system_state) Even if one component is compromised, its inability to access other parts of the process reduces overall exposure.",Application code which prevents its own subroutines from accessing intra-process / internal memory space.
D3-ABPI-SS3,"(system_state) Enforced policy decisions (allow or deny) are logged for observability, debugging, or auditing.",Application code which prevents its own subroutines from accessing intra-process / internal memory space.
D3-EAL-SS1,"(system_state) If the file hash matches the decrypted signature, the file is authenticated and permitted to execute.",Using a digital signature to authenticate a file before opening.
D3-EAL-SS2,"(system_state) If the signature is invalid, the executable is denied execution or placed in quarantine, triggering further defensive actions.",Using a digital signature to authenticate a file before opening.
D3-EAL-SS3,"(system_state) The decision to allow or block the file is recorded for auditing, compliance, or forensic analysis.",Using a digital signature to authenticate a file before opening.
D3-EDL-SS1,(system_state) A file that matches denylist criteria is prevented from executing.,Blocking the execution of files on a host in accordance with defined application policy rules.
D3-EDL-SS2,"(system_state) An audit log is created to record the blocked attempt, including relevant metadata for analysis.",Blocking the execution of files on a host in accordance with defined application policy rules.
D3-EDL-SS3,"(system_state) By preventing the execution of unauthorized or malicious files, system integrity is maintained.",Blocking the execution of files on a host in accordance with defined application policy rules.
D3-HBPI-SS1,(system_state) Processes A and B are prevented from accessing each other’s memory spaces.,Preventing one process from writing to the memory space of another process through hardware based address manager implementations.
D3-HBPI-SS2,"(system_state) DMA is confined to operate only within the allocated virtual memory, preventing arbitrary memory access.",Preventing one process from writing to the memory space of another process through hardware based address manager implementations.
D3-HBPI-SS3,(system_state) Unauthorized memory write attempts between processes are prevented by enforced hardware boundaries.,Preventing one process from writing to the memory space of another process through hardware based address manager implementations.
D3-KBPI-SS1,(system_state) The process is prevented from accessing sensitive resources or namespaces outside its designated scope.,Using kernel-level capabilities to isolate processes.
D3-KBPI-SS2,(system_state) Processes are prevented from interacting unless explicitly allowed by the policy.,Using kernel-level capabilities to isolate processes.
D3-KBPI-SS3,(system_state) Enforcement results (success or failure) are logged by the kernel or audit subsystem for accountability.,Using kernel-level capabilities to isolate processes.
D3-BDI-I1,(input) Network policy is actively routing or blocking broadcast traffic per the isolation configuration.,Broadcast isolation restricts the number of computers a host can contact on their LAN by segmenting or controlling broadcast traffic flow using configured policies and networking technology.
D3-BDI-SS2,(system_state) The host’s broadcast traffic is now only visible to a limited subset of the LAN (segmented domain).,Broadcast isolation restricts the number of computers a host can contact on their LAN by segmenting or controlling broadcast traffic flow using configured policies and networking technology.
D3-DNSAL-I1,(input) Domains are only resolvable if they exist in the approved allowlist.,Permitting only approved domains and their subdomains to be resolved.
D3-DNSAL-SS2,(system_state) The system enters a state in which DNS allowlisting enforcement is active.,Permitting only approved domains and their subdomains to be resolved.
D3-FRDDL-I1,(input) The DNS query was blocked.,Blocking a lookup based on the query's domain name value by filtering DNS queries using a denylist of unauthorized FQDNs.
D3-FRDDL-SS2,(system_state) The denylist is updated to include or reflect the blocked domain.,Blocking a lookup based on the query's domain name value by filtering DNS queries using a denylist of unauthorized FQDNs.
D3-HDDL-I1,(input) Future DNS queries to the domain or its subdomains are blocked.,Blocking the resolution of any subdomain of a specified domain name.
D3-HDDL-SS2,"(system_state) The denylist now includes the domain and subdomains, and hierarchical rules are enforced.",Blocking the resolution of any subdomain of a specified domain name.
D3-HDL-I1,(input) The DNS query is blocked due to detection of a homoglyph-based deception.,Blocking DNS queries that are deceptively similar to legitimate domain names.
