D3-CIA-I1,(input) The container image must be available for analysis.,Analyzing a Container Image with respect to a set of policies.
D3-IAA-I1,"(input) A known malicious identifier (e.g., hash, IP address, domain) must be provided or accessible.",Taking known malicious identifiers and determining if they are present in a system.
D3-IAA-I2,"(input) The system must retain logs, flows, or metadata that can be searched for evidence of identifier activity.",Taking known malicious identifiers and determining if they are present in a system.
D3-IAA-C3,(config) Tools such as threat intel platforms or SIEM must be in place to query system data for the presence of known identifiers.,Taking known malicious identifiers and determining if they are present in a system.
D3-DNRA-I1,(input) The domain name to be analyzed must be observed or captured from network or system activity.,Analyzing the reputation of a domain name.
D3-DNRA-I2,(input) A threat intelligence source or reputation service must be accessible to query domain reputations.,Analyzing the reputation of a domain name.
D3-DNRA-C3,"(config) The system must support domain reputation lookups through APIs, local threat intel integrations, or built-in logic.",Analyzing the reputation of a domain name.
D3-FHRA-I1,"(input) A file hash (e.g., SHA256) must be extracted or available for the reputation check to proceed.",Analyzing the reputation of a file hash.
D3-FHRA-I2,"(input) A reputation source (e.g., VirusTotal, internal database) must be available to look up the hash.",Analyzing the reputation of a file hash.
D3-FHRA-C3,(config) The system must support hash reputation queries through integrated tooling or external API access.,Analyzing the reputation of a file hash.
D3-IPRA-I1,(input) The IP address to be analyzed must be observed or extracted from network traffic or system logs.,Analyzing the reputation of an IP address.
D3-IPRA-I2,"(input) A reputation service (e.g., AbuseIPDB, internal CTI) must be available to query IP reputation.",Analyzing the reputation of an IP address.
D3-IPRA-C3,(config) A system tool or integration must exist to perform the reputation check against the external or internal sources.,Analyzing the reputation of an IP address.
D3-URA-I1,"(input) The system must capture or receive the URL for analysis, typically from telemetry, logs, or network traffic.",Analyzing the reputation of a URL.
D3-URA-I2,"(input) A service or data feed that can provide reputation information about the URL must be accessible (e.g., VirusTotal, OpenPhish).",Analyzing the reputation of a URL.
D3-URA-C3,(config) A tool or integration capable of querying URL reputation services must be in place within the environment.,Analyzing the reputation of a URL.
D3-UA-I1,"(input) The URL must be extracted or observed from a source (e.g., network, email, logs) to be analyzed.",Determining if a URL is benign or malicious by analyzing the URL or its components.
D3-UA-I2,"(input) The analysis may require contextual data such as embedded location (email, document, etc.), header data, or content fetched from the URL.",Determining if a URL is benign or malicious by analyzing the URL or its components.
D3-UA-C3,(config) The system must have algorithms or models deployed to extract and analyze URL characteristics.,Determining if a URL is benign or malicious by analyzing the URL or its components.
D3-SMRA-I1,(input) The sender MTA must be extracted from the email headers to perform reputation analysis.,Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.
D3-SMRA-I2,"(input) Metadata such as volume, reply rate, domain diversity, and duration of interaction must be accessible for reputation scoring.",Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.
D3-SMRA-C3,(config) A system or logic capable of computing and classifying MTA trustworthiness based on available metadata must be active.,Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.
D3-SRA-I1,(input) The system must extract or observe sender metadata from the message to begin analysis.,Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).
D3-SRA-I2,"(input) Interaction data such as send frequency, open/reply rates, and communication patterns must be accessible.",Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).
D3-SRA-C3,(config) The system must include or access logic for scoring and classifying senders based on observed behavior.,Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).
D3-ANAA-I1,"(input) The system must collect traffic data (e.g., flow logs, packet captures) that includes administrative protocol usage.",Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.
D3-ANAA-I2,(input) A historical baseline of legitimate administrative behavior must be present for deviation detection.,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.
D3-ANAA-C3,"(config) The system must be configured to recognize administrative protocols (e.g., RDP, SSH, VNC).",Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.
D3-BSE-I1,"(input) A sequence of bytes, often extracted from files or network traffic, must be available for analysis.",Analyzing sequences of bytes and determining if they likely represent malicious shellcode.
D3-BSE-I2,(input) Known byte patterns or heuristics indicative of malicious shellcode must be accessible to the analysis engine.,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.
D3-BSE-C3,(config) The system must have a byte emulation or instruction interpretation engine capable of analyzing raw bytecode as instructions.,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.
D3-ACA-I1,(input) The target server must be reachable over the network to initiate a TLS/SSL connection and retrieve its certificate.,Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.
D3-ACA-C2,(config) The system must support an active probing or inspection mechanism to initiate certificate retrieval.,Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.
D3-ACA-C3,"(config) The system must have certificate validation logic (e.g., path checking, revocation checking, signature verification) enabled to assess retrieved certificates.",Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.
D3-PCA-I1,"(input) The system must have access to sources such as CT logs, passive DNS, or observed network TLS handshakes that expose certificates.",Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.
D3-PCA-I2,(input) ML models or heuristic rules trained on known benign and malicious domains must be available for domain scoring.,Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.
D3-PCA-C3,"(config) Tools for parsing and analyzing certificates must be in place to validate, correlate, or flag anomalies.",Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.
D3-CSPP-I1,(input) The system must be able to inspect or log the contents (or summaries) of requests and responses exchanged between clients and servers.,Comparing client-server request and response payloads to a baseline profile to identify outliers.
D3-CSPP-I2,(input) Historical or learned profiles of expected request/response characteristics must exist for comparison.,Comparing client-server request and response payloads to a baseline profile to identify outliers.
D3-CSPP-C3,"(config) The system must support functionality to analyze payload features such as size, entropy, and frequency to build and compare against baselines.",Comparing client-server request and response payloads to a baseline profile to identify outliers.
D3-CAA-I1,(input) The system must collect and retain logs or flow records of failed or abnormal connection attempts.,Analyzing failed connections in a network to detect unauthorized activity.
D3-CAA-I2,(input) A map of assigned and unassigned IP ranges in the monitored network must be known to detect attempts toward unused addresses.,Analyzing failed connections in a network to detect unauthorized activity.
D3-CAA-C3,(config) The system must support analytics or pattern matching logic to detect scanning or probing behaviors across hosts or ports.,Analyzing failed connections in a network to detect unauthorized activity.
D3-DNSTA-I1,"(input) The system must capture DNS traffic, including domain names queried and their corresponding responses.","Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host."
D3-DNSTA-I2,"(input) Metadata such as registration date, length, DNS host type, or known DGA patterns must be available.","Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host."
D3-DNSTA-C3,"(config) The system must support analytic functions such as DGA detection, fast-flux detection, or domain scoring based on heuristics or ML models.","Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host."
D3-FC-I1,(input) Network packets must be captured for reassembly and inspection.,Identifying and extracting files from network application protocols through the use of network stream reassembly software.
D3-FC-I2,"(input) The network stream must include protocols known to carry files (e.g., HTTP, FTP, SMTP, etc.).",Identifying and extracting files from network application protocols through the use of network stream reassembly software.
D3-FC-C3,(config) The system must support reconstructing complete byte streams from captured packets.,Identifying and extracting files from network application protocols through the use of network stream reassembly software.
D3-FC-C4,(config) The system must include pattern matching logic to identify files within reassembled streams based on signatures or headers.,Identifying and extracting files from network application protocols through the use of network stream reassembly software.
D3-ISVA-I1,"(input) The system must collect and observe incoming traffic, including session setup attempts and packet types.",Analyzing inbound network session or connection attempt volume.
D3-ISVA-C2,"(config) Predefined limits for packet or session volumes must be set (e.g., max SYNs per second) to enable anomaly detection.",Analyzing inbound network session or connection attempt volume.
D3-ISVA-C3,(config) The system must have tools or logic to compute the rate of inbound packets over a defined time window.,Analyzing inbound network session or connection attempt volume.
D3-IPCTA-I1,"(input) The system must be capable of collecting IPC activity (e.g., SMB messages, named pipes, or Zeromq exchanges) either via host-based or network-based monitoring.",Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.
D3-IPCTA-I2,(input) A historical or predefined baseline of typical IPC behavior is required to detect anomalous patterns.,Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.
D3-IPCTA-C3,"(config) The system must be configured to identify and analyze specific IPC protocols (e.g., SMB, Java RMI).",Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.
D3-NTCD-I1,(input) The system must collect network communication data between internal hosts over time.,Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.
D3-NTCD-I2,(input) A baseline of normal inter- and intra-community communications must exist for comparison.,Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.
D3-NTCD-C3,"(config) The system must support logic for clustering or identifying communication communities (e.g., using graph-based techniques).",Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.
D3-PHDURA-I1,(input) The system must monitor and aggregate data volumes (upload and download) per host over defined time intervals.,Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.
D3-PHDURA-I2,(input) A historical baseline of normal download/upload behavior per host must be established to detect deviations.,Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.
D3-PHDURA-C3,(config) The system must have logic to compute download/upload ratios and identify anomalies against the baseline.,Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.
D3-PMAD-I1,"(input) The system must collect metadata from network traffic, such as packet headers, timing, flow characteristics, or session statistics.",Collecting network communication protocol metadata and identifying statistical outliers.
D3-PMAD-I2,(input) The system must use historical or dynamic profiles to identify statistically deviant behavior from typical patterns.,Collecting network communication protocol metadata and identifying statistical outliers.
D3-PMAD-C3,(config) The system must support logic for clustering or comparing grouped metadata to identify anomalies.,Collecting network communication protocol metadata and identifying statistical outliers.
D3-RPA-I1,"(input) The system must collect metadata such as bytes sent/received, session start time, and packet size from network traffic.",The detection of an internal host relaying traffic between the internal network and the external network.
D3-RPA-C2,(config) The system must be configured to differentiate between internal and external endpoints.,The detection of an internal host relaying traffic between the internal network and the external network.
D3-RPA-C3,(config) The system must support analytics to detect statistical similarities that suggest relay behavior between hosts.,The detection of an internal host relaying traffic between the internal network and the external network.
D3-RTSD-I1,(input) The system must group bidirectional traffic between hosts into sessions for traffic inspection.,Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.
D3-RTSD-C2,"(config) The system must be able to detect interaction-based session patterns indicative of live human behavior (e.g., keystroke rhythm).",Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.
D3-RTSD-C3,"(config) The system must have analytical capability to assess timing, cadence, and exchange rates indicative of remote control sessions.",Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.
D3-RTA-I1,"(input) The system must collect RPC-based traffic, including protocol headers, functions invoked, and message payloads.",Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.
D3-RTA-I2,(input) The system should maintain a baseline of typical RPC operations for comparison to detect anomalies.,Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.
D3-RTA-C3,"(config) The system must be configured to recognize and parse supported RPC protocols such as DCE/RPC, JSON-RPC, and SOAP.",Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.
D3-FEMC-I1,(input) The system must allow modification of the firmware image.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-I2,(input) The monitoring component must have knowledge of the embedded firmware’s code.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-I3,(input) The monitoring component must have knowledge of the current execution state of the host program.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-I4,(input) The system must support firmware code injection during the imaging process.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-I5,(input) The firmware must have sufficient space and resources to host the injected monitoring code.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-C6,(config) The system must support re-hosting of modified firmware.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FEMC-C7,(config) The firmware must allow exception handling to be exposed to the injected monitoring component.,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-PFV-I1,(input) System firmware must be accessible for hash computation.,Cryptographically verifying installed system firmware integrity.
D3-PFV-I2,(input) A cryptographic hash function must be available on the system.,Cryptographically verifying installed system firmware integrity.
D3-PFV-C3,(config) A trusted precomputed firmware hash must exist for the system model.,Cryptographically verifying installed system firmware integrity.
D3-PFV-C4,(config) The system must have its security module enabled to perform verification.,Cryptographically verifying installed system firmware integrity.
D3-SFV-I1,(input) Precomputed cryptographic hash for the firmware image must be available.,Cryptographically verifying installed system firmware integrity by computing hash values and comparing them to known good values.
D3-SFV-I2,(input) System firmware must be accessible for hash computation.,Cryptographically verifying installed system firmware integrity by computing hash values and comparing them to known good values.
D3-SFV-C3,(config) Security module must be enabled to perform cryptographic verification.,Cryptographically verifying installed system firmware integrity by computing hash values and comparing them to known good values.
D3-EHB-I1,(input) The endpoint must have an IP address for identification in the heartbeat message.,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised."
D3-EHB-I2,(input) The endpoint must have current software and configuration status available to report in the beacon.,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised."
D3-EHB-C3,(config) The endpoint must be configured to generate and transmit heartbeat messages securely with message integrity mechanisms enabled.,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised."
D3-IDA-I1,"(input) The system must be receiving input event data, such as keypresses or mouse movements.",Operating system level mechanisms to prevent abusive input device exploitation by filtering certain commands or disabling related operating system functionality.
D3-IDA-I2,"(input) User context (e.g., location, login status) and device metadata (e.g., manufacturer, layout) must be available.",Operating system level mechanisms to prevent abusive input device exploitation by filtering certain commands or disabling related operating system functionality.
D3-IDA-C3,"(config) The system must support filtering, locking sessions, and disabling devices in response to detected anomalies.",Operating system level mechanisms to prevent abusive input device exploitation by filtering certain commands or disabling related operating system functionality.
D3-MBT-I1,"(input) The system must have access to the call stack of the process, thread, or module being analyzed.",Analyzing a call stack for return addresses which point to unexpected memory locations.
D3-MBT-I2,(input) The system must know the memory layout of the entity to determine valid memory regions.,Analyzing a call stack for return addresses which point to unexpected memory locations.
D3-MBT-C3,(config) Kernel memory integrity must be intact and not compromised by kernel-level malware.,Analyzing a call stack for return addresses which point to unexpected memory locations.
D3-SJA-I1,(input) The system must have at least one scheduled job present for analysis.,"Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling."
D3-SJA-I2,"(input) Anti-malware signature database, whitelist, or reputation server must be accessible for comparison.","Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling."
D3-SJA-C3,"(config) Job monitoring must be enabled, and the system must be configured to allow access to external reputation services.","Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling."
D3-SDM-I1,(input) Log analysis tool is available for detecting changes.,Tracking changes to the state or configuration of critical system level processes.
D3-SDM-I2,(input) Registry monitoring capability is present to detect registry modifications.,Tracking changes to the state or configuration of critical system level processes.
D3-SDM-C3,(config) System logging is enabled to allow log-based tracking.,Tracking changes to the state or configuration of critical system level processes.
D3-SDM-C4,(config) Firewall service is hardened to detect unauthorized configuration changes.,Tracking changes to the state or configuration of critical system level processes.
D3-SDM-C5,(config) Antivirus service is hardened to detect tampering attempts.,Tracking changes to the state or configuration of critical system level processes.
D3-SFA-I1,(input) The system must have a defined list of critical system files to monitor.,"Monitoring system files such as authentication databases, configuration files, system logs, and system executables for modification or tampering."
D3-SFA-I2,(input) A baseline of checksums or hashes must be established for the monitored files.,"Monitoring system files such as authentication databases, configuration files, system logs, and system executables for modification or tampering."
D3-SFA-C3,(config) A file integrity monitoring tool must be configured and logging must be enabled on the system.,"Monitoring system files such as authentication databases, configuration files, system logs, and system executables for modification or tampering."
D3-SBV-I1,(input) Service binary files must exist on the system to be verified.,Analyzing changes in service binary files by comparing to a source of truth.
D3-SBV-I2,(input) A reference version (source of truth) of the service binary must be available for comparison.,Analyzing changes in service binary files by comparing to a source of truth.
D3-SBV-C3,(config) The source of truth must be verified as uncorrupted and trustworthy.,Analyzing changes in service binary files by comparing to a source of truth.
D3-SICA-I1,"(input) The analyst or system must have access to system startup configuration data, such as registry keys, startup folders, or service init scripts.",Analysis of any system process startup configuration.
D3-SICA-I2,"(input) The operating system context must be known to interpret startup mechanisms correctly (e.g., systemd vs Windows registry).",Analysis of any system process startup configuration.
D3-SICA-C3,"(config) Sufficient privileges (e.g., administrator or root) are required to access protected startup configurations.",Analysis of any system process startup configuration.
D3-USICA-I1,(input) Access to user session configuration files such as .bashrc or .bash_profile is required.,Analyzing modifications to user session config files such as .bashrc or .bash_profile.
D3-USICA-I2,"(input) Ability to read file metadata (e.g., timestamps or change logs) for user session config files.",Analyzing modifications to user session config files such as .bashrc or .bash_profile.
D3-USICA-C3,(config) File auditing or logging must be enabled to detect changes in session configuration files.,Analyzing modifications to user session config files such as .bashrc or .bash_profile.
D3-DQSA-I1,"(input) The system must be able to access or intercept the database query string, such as via function call hooks or network traffic.","Analyzing database queries to detect SQL Injection. This involves intercepting and inspecting query strings using software hooks or network traffic analysis, and comparing query structure to known patterns or baselines."
D3-DQSA-I2,"(input) There must exist a detection mechanism such as statistical baselines, policy rules, or role-based behavior models.","Analyzing database queries to detect SQL Injection. This involves intercepting and inspecting query strings using software hooks or network traffic analysis, and comparing query structure to known patterns or baselines."
D3-DQSA-C3,(config) The system must be configured with software instrumentation or network monitoring capability to collect SQL query data.,"Analyzing database queries to detect SQL Injection. This involves intercepting and inspecting query strings using software hooks or network traffic analysis, and comparing query structure to known patterns or baselines."
D3-FAPA-I1,(input) File system activity logs or telemetry must be available for the target process.,Analyzing the files accessed by a process to identify unauthorized activity.
D3-FAPA-I2,(input) Monitoring capability must exist for observing the behavior of the process.,Analyzing the files accessed by a process to identify unauthorized activity.
D3-FAPA-C3,(config) File system monitoring must be enabled on the host system.,Analyzing the files accessed by a process to identify unauthorized activity.
D3-FAPA-C4,(config) The system must be configured to log file access metadata.,Analyzing the files accessed by a process to identify unauthorized activity.
D3-IBCA-I1,(input) Execution trace of indirect branch instructions must be available.,"Analyzing vendor-specific branch call recording (e.g., Intel Last Branch Recording) to detect Return-Oriented Programming (ROP) style attacks by inspecting sequences of indirect branching calls leading to system calls."
D3-IBCA-I2,(input) System must monitor indirect branches that lead to system calls.,"Analyzing vendor-specific branch call recording (e.g., Intel Last Branch Recording) to detect Return-Oriented Programming (ROP) style attacks by inspecting sequences of indirect branching calls leading to system calls."
D3-IBCA-C3,"(config) Processor must support Last Branch Recording (LBR), and LBR must be configured to track specific branch types.","Analyzing vendor-specific branch call recording (e.g., Intel Last Branch Recording) to detect Return-Oriented Programming (ROP) style attacks by inspecting sequences of indirect branching calls leading to system calls."
D3-PCSV-I1,(input) The target process must be running with an accessible code (text) segment.,"Compares a process's in-memory code segment to a known source of truth (e.g., on-disk binary, embedded hash, or remote reference) to ensure integrity."
D3-PCSV-I2,"(input) A source of truth such as on-disk checksum, remote data, or embedded hash must be available for comparison.","Compares a process's in-memory code segment to a known source of truth (e.g., on-disk binary, embedded hash, or remote reference) to ensure integrity."
D3-PCSV-C3,(config) Verification logic must be present and capable of accessing the code segment and the source of truth.,"Compares a process's in-memory code segment to a known source of truth (e.g., on-disk binary, embedded hash, or remote reference) to ensure integrity."
D3-PSMD-I1,(input) A security agent must be installed on the host machine.,"Detects processes that modify, change, or replace their own code at runtime."
D3-PSMD-I2,(input) The installed security agent must be capable of intercepting API calls on the host.,"Detects processes that modify, change, or replace their own code at runtime."
D3-PSMD-C3,(config) The security agent must have access to loaded and updated attack signatures or detection patterns.,"Detects processes that modify, change, or replace their own code at runtime."
D3-PLA-I1,"(input) The system must have access to the full process tree of the device, including parent-child-sibling relationships.","Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
D3-PLA-I2,"(input) The system must be able to retrieve execution metadata such as timestamps, order, creator, and type for each process.","Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
D3-PLA-I3,(input) The system must be able to determine the boot sequence and timeline for the device to assess whether a process appeared before or after boot.,"Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
D3-PLA-I4,"(input) The system must be able to associate a process with a user or source (e.g., user action, system daemon, or malicious injection).","Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
D3-PLA-C5,"(config) Policies specifying allowed subprocess execution paths or initiation conditions for certain applications (e.g., Microsoft Word) must be in place.","Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
D3-SEA-I1,(input) A script is about to be executed and is intercepted for analysis.,Analyzing the execution of a script to detect unauthorized user activity.
D3-SEA-I2,(input) The hash of the script must be computable for comparison against known patterns.,Analyzing the execution of a script to detect unauthorized user activity.
D3-SEA-C3,"(config) The host must allow hooking into the scripting engine, and a database of known malicious scripts must be available.",Analyzing the execution of a script to detect unauthorized user activity.
D3-SSC-I1,(input) The system must support a memory-based call stack.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SSC-I2,(input) The processor must maintain a shadow call stack.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SSC-I3,(input) The system must have access to both call stacks for comparison.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SSC-C4,(config) The shadow stack feature must be enabled on the system.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SSC-C5,(config) The comparison mechanism must be initialized and active.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SSC-C6,(config) A mismatch detection threshold must be configured.,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-FCA-I1,"(input) Access to system call logs that capture file creation events (e.g., auditd, Sysmon, kernel audit log).",Analyzing the properties of file create system call invocations.
D3-FCA-C2,(config) Logging or monitoring of file system activity must be enabled.,Analyzing the properties of file create system call invocations.
D3-ANET-I1,"(input) Authentication event logs must be available from one or more sources such as VPN server, LDAP, or directory server.","Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile."
D3-ANET-I2,(input) Historical authentication data for the user must be available to build a baseline.,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile."
D3-ANET-C3,(config) A thresholding method (manual or statistical) must be configured to evaluate deviations from baseline behavior.,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile."
D3-AZET-I1,"(input) Authorization event data (e.g., login attempts, file access) must be available for analysis.","Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile."
D3-AZET-I2,(input) The system must support creating baseline behavior models from historical data.,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile."
D3-AZET-C3,(config) Static or dynamic thresholds must be configured to detect deviations in authorization behavior.,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile."
D3-CCSA-I1,(input) The system must have a retrievable logon history for user accounts.,Determining which credentials may have been compromised by analyzing the user logon history and possible sources of credential data such as memory and disk.
D3-CCSA-I2,(input) Credential-related memory dumps such as lsass.exe or hiberfil.sys must be accessible.,Determining which credentials may have been compromised by analyzing the user logon history and possible sources of credential data such as memory and disk.
D3-CCSA-I3,"(input) Credential stores on disk such as the SAM file, NTDS.dit, or /etc/shadow must be accessible for analysis.",Determining which credentials may have been compromised by analyzing the user logon history and possible sources of credential data such as memory and disk.
D3-CCSA-C4,(config) Forensic tools capable of analyzing memory and disk contents must be available and configured.,Determining which credentials may have been compromised by analyzing the user logon history and possible sources of credential data such as memory and disk.
D3-CCSA-C5,(config) The analyst or system must have sufficient privileges to read credential storage locations.,Determining which credentials may have been compromised by analyzing the user logon history and possible sources of credential data such as memory and disk.
D3-DAM-I1,(input) The monitoring system must have access to the domain controller or its logs.,Monitoring the existence of or changes to Domain User Accounts.
D3-DAM-I2,(input) The system must have permission to read security or directory service event logs.,Monitoring the existence of or changes to Domain User Accounts.
D3-DAM-I3,(input) A monitoring tool or agent must be installed to perform domain account monitoring.,Monitoring the existence of or changes to Domain User Accounts.
D3-DAM-C4,"(config) The audit policy for domain account changes (creation, deletion, modification) must be enabled.",Monitoring the existence of or changes to Domain User Accounts.
D3-DAM-C5,(config) Log retention policies must be configured to store historical domain account activity.,Monitoring the existence of or changes to Domain User Accounts.
D3-JFAPA-I1,(input) access logs for the user must be available,"Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department."
D3-JFAPA-I2,(input) user role or job function metadata must be available,"Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department."
D3-JFAPA-C3,(config) peer group behavior profiles based on job function must exist,"Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department."
D3-LAM-I1,(input) has access to local account authentication and usage logs,Analyzing local user accounts to detect unauthorized activity
D3-LAM-I2,(input) has inventory of legitimate user accounts,Analyzing local user accounts to detect unauthorized activity
D3-LAM-C3,(config) logging is enabled for local account activity,Analyzing local user accounts to detect unauthorized activity
D3-RAPA-I1,(input) baseline model of the user's typical resource access activity must exist,Analyzing the resources accessed by a user to identify unauthorized activity by comparing recent activity against a baseline model.
D3-RAPA-I2,(input) current resource access logs or telemetry must be available,Analyzing the resources accessed by a user to identify unauthorized activity by comparing recent activity against a baseline model.
D3-RAPA-C3,(config) system must be configured to log and monitor resource accesses,Analyzing the resources accessed by a user to identify unauthorized activity by comparing recent activity against a baseline model.
D3-SDA-I1,(input) historical session duration data must be available,Analyzing the duration of user sessions in order to detect unauthorized activity by comparing against historical behavior models.
D3-SDA-I2,(input) current session duration must be measurable,Analyzing the duration of user sessions in order to detect unauthorized activity by comparing against historical behavior models.
D3-SDA-C3,(config) session logging must be enabled,Analyzing the duration of user sessions in order to detect unauthorized activity by comparing against historical behavior models.
D3-UGLPA-I1,(input) geolocation data for user logon attempts is collected,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
D3-UGLPA-I2,(input) baseline user behavior profile exists for comparison,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
D3-UGLPA-C3,(config) IP-to-geolocation resolution is enabled in the system,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
D3-UGLPA-C4,(config) logon events are monitored and recorded by the system,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
D3-WSAA-I1,(input) user session behavior baseline exists for the user,Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.
D3-WSAA-I2,(input) current user web session activity is available for analysis,Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.
D3-WSAA-C3,(config) monitoring system is configured to collect relevant user session data,Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.
D3-CTS-I1,(input) Client must support the use of scoped credentials.,Limiting the transmission of a credential to a scoped set of relying parties.
D3-CTS-I2,(input) Identity provider must support scoping credentials to specific relying parties.,Limiting the transmission of a credential to a scoped set of relying parties.
